amico
aroma
attak
bella
bravo
canto
cuore
donna
dente
dorso
etica
falco
festa
gioco
gusto
hotel
idea
isola
leone
lampo
marmo
notte
nuovo
occhio
opera
orato
pesca
porta
quota
rosso
sacco
sedia
tempo
torta
umbra
vento
verbo
zaino
zolla
