araw
bata
bayad
buhay
ganda
gatas
halik
hapon
hindi
hinog
ibaba
ibayo
igibin
ilang
isipin
iwanan
kabal
kabig
kabis
kahit
kalak
kalye
keron
labas
loko
lupon
lunas
massa
masig
menta
mismo
mutya
ngiti
osisi
pabor
pahina
paila
pinto
puwed
putik
sakit
samba
sarap
sigla
sundo
tamis
tapon
tulay
tulad
ulo
wala
yaman
